locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
Goregaon East,Mumbai,897.0,2,2,0,Semi-Furnished,134.0,120000.0
Powai,Mumbai,490.0,1,1,0,Semi-Furnished,82.0,40000.0
Mundhwa,Pune,550.0,1,1,0,Unfurnished,22.0,12000.0
Hingna,Nagpur,1000.0,2,2,0,Unfurnished,8.0,8000.0
Mira Road,Mumbai,595.0,1,1,0,Unfurnished,25.0,15000.0
Jakkur,Bangalore,600.0,1,1,0,Unfurnished,27.0,16000.0
Chittaranjan Park,New Delhi,1260.0,3,3,2,Unfurnished,47.66666666666666,60000.0
Soami Nagar South,New Delhi,2700.0,3,3,2,Semi-Furnished,74.11111111111111,200000.0
Hadapsar,Pune,650.0,1,1,0,Unfurnished,17.0,11000.0
Kharadi,Pune,495.0,1,1,0,Unfurnished,48.0,24000.0
Indira Nagar,Bangalore,2000.0,4,3,0,Semi-Furnished,40.0,80000.0
Whitefield,Bangalore,1543.0,3,3,0,Unfurnished,39.0,60000.0
Powai,Mumbai,380.0,1,2,0,Furnished,184.0,70000.0
Bandra East,Mumbai,1281.0,3,3,0,Semi-Furnished,222.0,290000.0
Bandra East,Mumbai,2200.0,4,4,3,Unfurnished,159.0,350000.0
Jogeshwari Vikhroli Link Road,Mumbai,2600.0,4,5,0,Semi-Furnished,92.0,240000.0
Hinjewadi,Pune,862.0,2,2,2,Semi-Furnished,35.0,30000.0
Jyoti Nagar East,New Delhi,1080.0,3,2,0,Semi-Furnished,23.0,25000.0
Madanpur Khadar Village,New Delhi,700.0,1,1,0,Semi-Furnished,19.0,13000.0
C V Raman Nagar,Bangalore,1900.0,3,3,3,Semi-Furnished,37.0,70000.0
Baner,Pune,1000.0,2,2,2,Semi-Furnished,35.0,35000.0
Dudulgaon,Pune,819.0,3,2,2,Unfurnished,24.0,20000.0
Mohan Nagar,Nagpur,400.0,1,1,0,Unfurnished,25.0,10000.0
Kharadi,Pune,2500.0,4,6,3,Semi-Furnished,37.0,92000.0
Balagere,Bangalore,1200.0,2,2,2,Semi-Furnished,16.0,19000.0
Manewada,Nagpur,990.0,2,2,2,Semi-Furnished,11.0,11000.0
Wadala West,Mumbai,400.0,1,2,0,Semi-Furnished,100.0,40000.0
Dhanori Road,Pune,750.0,2,2,2,Semi-Furnished,35.0,26500.0
MedaHalli,Bangalore,300.0,2,2,0,Semi-Furnished,83.0,25000.0
Harsha Layout,Bangalore,850.0,1,1,0,Semi-Furnished,11.0,9000.0
Hinjewadi,Pune,1500.0,3,3,0,Unfurnished,20.0,30000.0
Frazer Town,Bangalore,2350.0,4,3,0,Furnished,38.0,90000.0
Loni Kalbhor,Pune,1200.0,2,2,0,Unfurnished,10.0,12000.0
Kirkatwadi,Pune,480.0,1,1,0,Unfurnished,15.0,7000.0
Budigere,Bangalore,1153.0,2,2,2,Semi-Furnished,29.0,34000.0
Chhattarpur,New Delhi,900.0,2,2,2,Semi-Furnished,23.0,21000.0
Dindoshi - Malad East,Mumbai,950.0,2,2,0,Semi-Furnished,68.0,65000.0
Raj nagar,Nagpur,3000.0,5,4,4,Semi-Furnished,8.0,25000.0
Aundh,Pune,980.0,2,2,0,Unfurnished,30.0,29000.0
Wadi,Nagpur,950.0,3,2,3,Semi-Furnished,9.0,9000.0
Ram Das Peth,Nagpur,1300.0,3,3,3,Furnished,27.0,35000.0
Kasavanahalli,Bangalore,1500.0,2,2,0,Semi-Furnished,27.0,40000.0
Adarsh Nagar,Nagpur,1000.0,3,3,2,Semi-Furnished,25.0,25000.0
Marathahalli,Bangalore,1180.0,2,2,2,Semi-Furnished,32.0,38000.0
Hebbal,Bangalore,3000.0,3,3,2,Furnished,57.0,170000.0
Bandra West,Mumbai,950.0,2,2,0,Furnished,142.0,140000.0
Mahipalpur,New Delhi,630.0,2,1,0,Unfurnished,13.0,8000.0
Bavdhan,Pune,3186.0,5,5,0,Semi-Furnished,44.0,140000.0
Sahakara Nagar,Bangalore,1400.0,3,3,0,Unfurnished,29.0,40000.0
Hebbal,Bangalore,1420.0,2,2,2,Semi-Furnished,25.0,35000.0
Pitampura,New Delhi,1200.0,3,2,0,Furnished,29.0,35000.0
Borivali East,Mumbai,1094.0,3,3,0,Semi-Furnished,112.0,120000.0
Hennur,Bangalore,3000.0,4,5,2,Furnished,67.0,200000.0
Andheri West,Mumbai,1500.0,3,3,0,Semi-Furnished,60.0,90000.0
NIBM Road,Pune,1350.0,3,3,3,Unfurnished,39.0,52000.0
Pimple Nilakh,Pune,800.0,2,2,0,Unfurnished,30.0,24000.0
Kalbadevi,Mumbai,315.0,1,1,0,Furnished,143.0,45000.0
Electronic City,Bangalore,2000.0,3,3,3,Semi-Furnished,13.0,25000.0
Manjri Budruk,Pune,630.0,1,1,0,Unfurnished,12.0,7500.0
Balagere,Bangalore,1700.0,3,3,2,Semi-Furnished,37.0,63000.0
Lokhandwala Township Kandivali East,Mumbai,427.0,1,1,0,Unfurnished,80.0,34000.0
Kamptee Road,Nagpur,650.0,1,1,0,Unfurnished,13.0,8500.0
Hulimavu,Bangalore,3560.0,4,5,5,Furnished,37.0,130000.0
Freedom Fighters Enclave,New Delhi,1250.0,2,2,0,Furnished,28.0,35000.0
Sarjapur Road,Bangalore,1200.0,3,3,2,Furnished,38.0,45000.0
Hadapsar,Pune,450.0,1,1,10,Furnished,56.0,25000.0
Begur Road,Bangalore,1631.0,3,2,2,Semi-Furnished,36.0,58000.0
Wanawari,Pune,1200.0,2,2,0,Unfurnished,22.0,27000.0
Mulund East,Mumbai,675.0,2,2,2,Unfurnished,67.0,45000.0
Neeladri Nagar,Bangalore,1845.0,3,3,3,Semi-Furnished,24.0,45000.0
Deonar Chembur,Mumbai,1200.0,3,3,0,Unfurnished,108.0,130000.0
Andheri West,Mumbai,800.0,2,2,0,Unfurnished,94.0,75000.0
Commonwealth Games Village,New Delhi,2260.0,4,4,3,Furnished,53.0,120000.0
Handewadi,Pune,810.0,2,2,0,Semi-Furnished,15.0,12000.0
Block C Dashrath Puri,New Delhi,900.0,3,2,2,Semi-Furnished,22.22222222222222,20000.0
Somalwada,Nagpur,1100.0,2,2,2,Semi-Furnished,16.0,18000.0
Jogeshwari East,Mumbai,440.0,1,1,0,Furnished,80.0,35000.0
Rajarajeshwari Nagar,Bangalore,900.0,2,2,0,Unfurnished,19.0,17000.0
Besa,Nagpur,1150.0,2,2,2,Furnished,16.0,18000.0
Hoodi,Bangalore,1200.0,2,2,0,Semi-Furnished,16.0,19000.0
Ayodhya Nagar,Nagpur,1700.0,1,1,0,Unfurnished,6.0,11000.0
HAL 3rd Stage,Bangalore,600.0,2,1,0,Semi-Furnished,33.0,20000.0
Ganesh Nagar,New Delhi,550.0,2,1,0,Semi-Furnished,25.0,13500.0
State Highway 104,Bangalore,4900.0,4,4,0,Furnished,33.0,160000.0
Wagholi,Pune,1000.0,3,3,0,Unfurnished,20.0,20000.0
Manyata Tech Park,Bangalore,800.0,2,2,2,Unfurnished,38.0,30000.0
Kharadi,Pune,900.0,2,2,2,Semi-Furnished,39.0,35000.0
Sector 6 Dwarka,New Delhi,1200.0,3,2,2,Furnished,30.0,36000.0
Goregaon East,Mumbai,600.0,2,2,0,Unfurnished,41.0,24500.0
Sion,Mumbai,550.0,1,2,0,Unfurnished,57.0,31507.0
Thanisandra Main Road,Bangalore,2494.0,4,4,0,Semi-Furnished,160.0,400000.0
Nawada,New Delhi,612.0,2,1,0,Unfurnished,15.0,9000.0
Liberty Garden,Mumbai,690.0,2,2,2,Unfurnished,72.0,50000.0
Neelam Nagar,Mumbai,1250.0,3,3,6,Furnished,52.0,65000.0
Napean Sea Road,Mumbai,3500.0,4,5,0,Semi-Furnished,200.0,700000.0
PNS Layout,Bangalore,650.0,2,2,0,Semi-Furnished,31.0,20000.0
Goregaon East,Mumbai,423.0,1,1,0,Furnished,102.0,43000.0
Borivali West,Mumbai,761.0,2,2,2,Furnished,79.0,60000.0
Khar West,Mumbai,300.0,1,1,0,Unfurnished,103.0,31000.0
Punawale,Pune,1000.0,3,3,2,Furnished,32.0,32000.0
Chinchwad Gaon,Pune,700.0,2,1,0,Furnished,24.0,16500.0
Wagholi,Pune,1100.0,2,2,2,Furnished,21.0,23000.0
New Colony,Nagpur,1500.0,2,2,2,Semi-Furnished,12.0,18000.0
Lok Nayak Puram,New Delhi,500.0,2,1,0,Semi-Furnished,15.0,7250.0
Dighori Road,Nagpur,800.0,1,2,0,Semi-Furnished,10.0,8000.0
Pali Hill,Mumbai,600.0,2,1,0,Semi-Furnished,125.0,75000.0
Mohan Garden Uttam Nagar,New Delhi,650.0,2,2,0,Semi-Furnished,17.0,11000.0
Dhanori,Pune,780.0,2,2,2,Semi-Furnished,26.0,20000.0
Lohegaon,Pune,750.0,2,2,0,Semi-Furnished,27.0,20000.0
Malabar Hill,Mumbai,1365.0,3,4,0,Semi-Furnished,147.0,200000.0
Dabha,Nagpur,1000.0,3,3,0,Unfurnished,28.0,28000.0
Sone Gaon,Nagpur,600.0,1,1,0,Semi-Furnished,12.0,7500.0
Wardha,Nagpur,1500.0,2,2,2,Semi-Furnished,5.0,8000.0
Sector 19 Dwarka,New Delhi,1800.0,3,3,4,Furnished,31.0,55000.0
Mahalunge,Pune,450.0,1,1,0,Furnished,29.0,12999.0
